Invoice No,Total Invoice Value
536780,9
536781,48
536782,408
536783,2784
536784,1456
536785,2304
536786,288
536787,168
536788,60
536789,12
536790,467
536791,24
536792,24
536793,132
536794,264
536795,264
536796,292
536797,120
536798,463
536799,130
536800,153
536801,192
536802,168
536803,18
536804,1439
536805,216
536806,0
C536807,-21
536808,202
536809,0
536810,204
536811,483
C536812,-384
536813,98
C536814,-86
C536815,-1
C536816,-12
C536817,-7
C536818,-1
536819,200
C536820,-14
536821,77
C536822,-35
536823,39
536824,320
C536825,-4
C536826,-20
C536827,-18
C536828,-13
C536829,-3
536830,1400
536831,392
536832,138
536833,288
536834,24
536835,295
536836,206
536837,214
536838,0
536839,335
536840,67
536841,288
536842,198
536843,30
536844,154
536845,98
536846,328
536847,120
536848,360
536849,318
C536850,-1024
536851,1170
536852,42
C536853,-2
C536854,-4
C536855,-28
536856,597
536857,104
536858,230
536859,147
536860,195
536861,258
536862,1266
536863,84
536864,609
536865,2240
536866,8
536874,174
536876,6382
536883,0
536884,35
536885,432
536890,0
536920,33
536938,1420
536941,0
536942,0
536943,103
536944,400
536945,211
536946,608
536947,426
536954,400
536956,254
536957,624
536960,151
536967,48
536968,432
536969,384
536970,1200
536971,176
536972,206
536973,522
536974,256
536975,1254
536976,104
536977,62
C536978,-9
C536979,-4
536980,478
536981,73
536982,9882
536983,138
536984,281
536985,299
536986,60
536987,186
536988,204
536989,98
536990,98
536991,6
536992,72
536993,84
536994,83
536995,0
536996,0
536997,0
536998,0
536999,0
537000,0
537001,0
537002,0
537003,0
537004,0
537005,0
537006,0
537007,0
537008,0
537009,0
537010,0
537011,0
537012,0
537013,0
537014,0
537015,0
537016,0
537017,0
537018,0
537019,0
537020,0
537021,0
537022,355
537023,87
537025,50
C537024,-72
537026,100
537027,0
537028,0
537029,0
537030,154
537031,108
537032,0
537034,1450
537035,8
537036,97
537037,206
537038,451
C537039,-6
537040,624
537041,120
537042,188
C537043,-7
537044,374
537045,103
537046,239
537047,208
537048,4
537049,230
537050,346
537051,255
537052,496
537053,260
537054,102
537055,209
537057,194
537058,216
537059,111
537065,1228
537067,23
537077,101
537081,894
537086,328
537090,12
537111,119
537117,192
537126,338
537127,320
537128,118
537129,205
537130,94
537131,250
537133,156
C537132,-274
537134,102
537135,453
537136,194
537137,304
537138,156
537139,12
537140,42
537141,424
537142,33
C537143,-7
537144,234
537153,414
537154,816
537155,40
537156,217
C537157,-24
537158,166
537159,255
537160,227
537163,226
C537164,-29
537176,85
537179,670
537192,154
537193,289
537194,240
537195,493
537196,326
537197,234
537198,78
537199,95
537200,85
537201,1030
537202,196
C537203,-11
537204,41
537205,98
537206,72
537207,163
537208,229
537209,135
537210,145
537211,270
537212,280
537213,5
537214,1138
537215,294
537216,390
537217,152
537218,212
537219,295
537220,3
537221,32
537222,99
537223,136
537224,981
537225,328
537226,72
537227,608
537228,24
537229,12
537230,2
537231,268
C537232,-16
537233,240
C537234,-20
537235,2076
537236,321
537237,6481
537238,112
537239,165
537240,6674
537241,288
537242,261
537243,48
537244,192
537245,36
537246,86
537247,192
537248,34
537249,20
537250,140
C537251,-169
537252,0
537253,245
537254,264
537255,232
537256,1884
537257,110
537258,87
537262,429
537265,134
537298,109
537301,76
537312,244
537313,104
C537314,-24
C537320,-8
537332,229
C537333,-32
537334,346
537335,77
537346,426
537350,196
537351,68
537354,74
537359,132
537360,72
537361,0
537362,161
537363,0
537364,0
537365,308
537366,256
537367,24
537368,298
537369,196
537370,288
537371,137
537372,148
537374,231
537375,261
C537373,-12
537376,340
537377,232
537378,398
537380,96
C537379,-20
537381,303
537382,265
C537383,-7
537384,112
537385,101
537386,18
537387,166
537388,266
537389,114
537390,97
537391,400
537392,109
537393,1902
537394,48
537395,112
537396,253
537397,152
C537398,-4
537399,315
537400,297
537401,0
537403,20
C537402,-164
537404,37
537405,346
C537406,-152
537407,164
C537408,-12
537409,274
537410,144
537411,8
537412,96
C537413,-144
537415,204
C537414,-16
C537416,-7
C537417,-4
537418,99
537419,390
537420,211
537421,206
537422,146
537423,80
537424,72
537425,0
537426,0
537427,0
537428,326
537429,22
537430,0
537432,0
C537431,-5
537433,338
537434,7266
537435,172
537436,0
537437,0
537438,0
537439,0
537440,177
537441,427
537442,4
C537444,-40
C537445,0
537446,456
537447,116
537448,36
537449,0
537450,0
537451,0
537452,0
537453,0
537454,0
537455,0
537456,1536
537457,1192
537458,260
537459,108
537460,256
537461,480
537462,105
537463,680
537464,502
537465,346
537466,0
537467,97
537468,313
537469,96
537470,98
537471,15
537472,36
537476,550
537484,1440
537489,310
537509,288
537523,120
C537530,-25
537534,924
537538,262
537567,121
C537572,-95
C537581,-64
537592,232
537593,320
537594,494
537595,92
C537596,-18
C537597,-281
537598,264
537599,18
C537600,-1
537601,83
C537602,-64
537603,260
537604,1116
537605,131
537606,461
537607,105
537608,287
537609,512
C537610,-631
C537611,-72
537612,224
C537613,-313
537614,277
537615,120
537616,14
537617,134
537618,1488
537619,156
537620,72
537621,10
537622,110
537623,274
537624,213
537625,61
537626,560
537627,556
537628,328
537629,278
537631,12
C537630,-13541
537632,13541
537633,22
537634,189
537635,48
537636,148
537637,14
537638,5565
537639,0
537640,10609
537641,1186
537642,2047
537643,2295
537645,2345
C537644,-13474
537646,334
C537647,-5519
537648,216
537649,88
537650,205
C537651,-13541
C537652,-6706
537653,233
537654,104
537655,64
C537656,-120
537657,8538
537658,336
537659,14167
537664,24
537665,130
537666,4462
537667,256
537668,40
537669,93
537670,461
537671,252
537672,250
537673,480
537674,168
537675,0
537676,168
C537677,-1
537678,274
537679,16
537680,168
537681,204
537682,72
537683,222
C537684,-5
537685,111
537686,148
537687,0
537688,554
537689,166
537690,230
537691,206
537692,431
537693,110
537694,133
537698,164
537700,264
537707,228
537738,196
537743,117
C537746,-5
537751,32
537754,122
537755,300
C537756,-88
537757,262
537758,66
537759,140
537760,280
537761,12
537762,393
C537763,-7
537764,106
537765,176
537766,576
537767,320
537768,20
537769,156
537770,182
537771,352
537772,223
537773,293
537774,136
537775,608
537780,86
537781,354
537789,520
C537788,-17
537791,136
537792,116
537793,1667
537794,307
537795,251
537796,366
537799,98
C537797,-29
C537798,-4
537800,30
537801,364
537802,562
537803,80
537804,62
C537805,-19
537806,301
537808,201
C537807,-42
537809,101
537810,21
537811,222
C537812,-190
537813,336
C537814,-12
537815,194
537816,120
537817,118
537818,914
537819,224
C537820,-8
C537821,-18
537822,342
537823,5330
C537824,-13
537825,147
537826,206
537827,60
537828,289
537829,368
537830,142
537831,80
C537832,-26
537833,400
C537834,-10
C537835,-12
537836,0
537837,208
C537838,-4
537839,9
537840,227
537841,0
537842,118
537843,132
537844,145
537845,60
537846,164
537847,134
537848,144
537849,60
537850,124
537851,276
537852,1808
C537853,-30
537854,96
537855,203
C537856,-12
C537857,-267
537858,15
537859,637
C537860,-208
537861,84
537862,73
537863,5
537864,196
537865,164
537866,542
537867,252
537868,1086
537870,0
537871,96
537872,0
537873,0
537874,0
537875,0
537876,0
537877,0
537878,0
537879,170
537880,292
537881,824
537882,112
537883,24
537884,468
537885,209
537886,144
537887,1216
537888,296
537889,519
537890,84
537891,72
537892,114
C537893,-23
537894,324
537895,372
537896,200
537897,132
537898,298
537899,2976
537900,269
537901,272
537915,202
537955,305
537963,230
537967,50
537981,360
537995,242
C537998,-24
537999,0
538000,88
538001,0
538002,314
538003,1034
538004,0
538005,768
538006,128
538007,126
538008,566
538009,755
538010,192
538011,143
538012,191
538013,70
538014,570
538015,158
538032,126
538035,220
538036,0
538037,84
538038,0
538039,0
538040,180
538041,0
538042,0
538043,0
538044,13
538045,0
538046,0
538047,0
538048,144
538049,14
538050,14
538051,89
C538052,-4
538053,1246
538054,0
538055,0
538056,190
538057,178
538058,0
C538059,-175
538060,3
538061,0
C538062,-79
538063,1824
538064,62
538065,296
C538066,-2
538067,119
538068,98
538069,275
538070,86
538071,6400
538072,0
538073,6
538074,0
C538075,-12
538076,229
538077,470
538078,260
538079,270
538080,178
C538081,-33
C538082,-40
C538083,-11
C538084,-12
C538085,-14
538086,246
538087,48
C538088,0
C538089,-6
538090,0
C538091,-16
538092,0
538093,498
538094,149
538095,129
538096,2
538097,192
C538098,-8
C538099,-10
C538100,-24
538101,156
C538102,-8
C538103,-16
538104,124
C538105,-15
538106,44
538107,108
538108,112
C538109,-23
C538110,-144
C538111,0
C538112,-24
538113,232
C538114,-16
C538115,-22
538116,540
538117,48
C538118,-7
C538119,-18
538120,50
C538121,-12
C538122,-1
C538123,-6
C538124,-14
538125,24
538126,181
538127,6
538128,0
538129,0
538130,0
538131,0
538132,0
538133,0
538134,0
538135,0
538136,0
538137,0
538138,0
538139,0
538140,0
538141,0
538142,0
538143,0
538144,0
538145,310
538146,272
538147,15
538148,2105
538149,2336
538151,384
538153,2912
538154,279
538155,140
538156,515
538157,73
538158,0
538159,0
538160,0
538161,0
538162,0
538163,196
C538164,-1
538165,154
538166,96
538167,221
538168,227
538169,70
538170,238
538171,200
538172,272
538173,0
538174,1346
538175,378
538176,296
538177,5609
538178,116
538179,12
538180,266
538181,116
538182,88
538183,534
538184,296
538185,138
538186,154
538187,166
538188,2
C538189,-133
538190,85
538191,4382
538192,120
538193,60
538194,0
538195,300
538196,850
538197,98
538198,548
538199,111
538200,58
538201,146
538202,177
538203,122
538204,204
538205,212
538206,208
538207,151
538208,89
538209,130
538210,359
538211,204
538216,230
538240,176
538241,0
538247,0
538248,99
538249,0
538250,90
538252,180
538255,891
538260,236
538263,162
538268,84
538279,480
538280,418
538283,6
538288,0
538296,204
538306,180
538307,168
538308,182
538309,103
538310,8
538311,226
538312,161
538313,985
C538314,0
538327,313
C538341,-985
538342,0
538343,312
C538344,-24
538345,76
538346,578
538347,266
538348,0
538349,5823
C538350,-132
538351,11667
538352,150
538353,2743
538354,1568
538355,8
538356,654
C538357,-144
538358,17
538359,0
538360,0
538361,119
C538362,0
538363,106
538364,68
538365,269
538366,242
538367,388
538368,102
538369,216
538370,411
538371,209
C538372,-9
C538373,-12
538374,126
C538375,-9
C538376,-13
C538377,-10
538378,284
538379,165
538382,166
538397,2365
538403,212
538409,90
538417,88
538418,106
538419,126
538420,0
538421,80
538437,79
538449,345
538453,226
C538463,-10
538470,10
538473,149
538488,154
538497,127
538499,356
538501,10
C538500,-12
538503,420
538504,106
538507,432
538508,609
538509,73
538510,126
538511,150
538512,107
538513,140
538514,626
538515,1164
538516,192
538517,229
538518,747
538519,26
538520,21
538521,291
538522,312
538523,254
538524,4650
538525,717
538526,864
538527,360
538528,86
538529,627
C538530,-33
538532,248
538533,246
C538531,-6
538534,0
538535,94
C538536,0
538537,277
538541,393
538557,24
538558,60
538565,0
538566,4374
538567,140
538576,133
538591,96
538592,150
538593,288
538594,10
C538595,-4
538596,138
538597,76
538625,731
538626,561
538627,5
C538628,-14
538629,155
538630,836
538631,444
538633,104
538634,328
C538632,-12
538635,164
538636,552
538637,168
538638,162
538639,181
538640,108
538641,1040
C538642,-11
C538643,-11
538644,11
538645,182
538646,235
538648,672
C538647,-9
538649,13
C538650,-14
538651,237
538652,311
538653,984
538654,72
538655,71
538656,84
538657,168
538658,80
538659,416
538660,1003
538661,252
538662,1306
538663,36
538664,1292
538665,128
538666,9
538667,0
538668,86
538669,0
C538670,-12
538671,304
538678,50
538679,114
C538680,-966
C538681,-316
C538682,-1130
538683,301
C538684,-30
538685,15
C538686,-2
538687,552
538688,80
538689,214
C538690,-107
C538691,-2
C538692,-6
C538693,-19
C538694,-4
C538695,-2
C538696,-8
538697,64
C538698,0
C538699,-28
C538700,-24
C538701,-1
C538702,0
C538703,-3
C538704,-18
C538705,-163
538706,114
538707,123
538708,276
538709,111
538710,121
C538711,-1
C538712,-8
C538713,-34
538714,202
538715,250
538716,12
C538717,-24
538719,48
C538718,-48
538721,8
C538720,-12
538722,244
538724,2
C538723,-21
C538725,-20
C538726,-2
C538734,-32
538744,149
C538742,-2
C538745,-1
C538749,-9
538753,111
C538755,-12
C538763,-24
C538768,-36
C538771,-4
538778,31
538783,644
538785,162
C538794,-1
538795,238
538796,194
538797,0
C538798,-12
538799,522
538800,118
538801,174
C538802,-20
C538803,-28
C538804,0
C538805,-24
C538806,-4
538807,196
538808,303
538809,167
538810,116
538811,402
538812,53
C538813,-4
538814,245
538815,141
538816,414
538817,0
538826,1087
538827,1410
538828,120
538829,0
538830,96
538831,240
538832,313
C538833,-34
C538834,-11
538836,146
538837,0
538839,239
538841,112
538843,125
538844,938
538845,60
538846,8
C538847,-960
538848,960
538849,584
538850,124
538851,188
538852,139
538853,111
538854,246
538855,350
538856,148
538857,124
538858,756
538859,372
538860,72
538861,0
538862,115
538863,258
538864,324
538865,60
538866,504
538867,3
538868,404
538869,24
538870,57
538871,318
538872,258
538873,0
C538874,-5
538875,256
C538876,-2
538877,11714
538878,192
538879,116
538880,593
538881,679
538883,1241
538884,485
C538882,-36
538885,18
538886,260
C538887,-10
538888,86
C538889,-12
538890,184
C538891,-86
538892,12
538894,154
538895,138
538896,176
C538897,-47
C538898,-10
538899,90
538900,307
538901,158
538902,200
538903,354
C538904,-7
538905,180
538906,0
538907,184
538908,222
538909,82
538910,125
538917,547
538935,145
538942,75
538943,144
538944,162
538945,1380
538951,156
538967,288
538968,172
C538971,0
538991,1750
538992,340
538993,74
538994,370
538995,868
538996,298
C538997,-10
538998,1892
538999,1062
539000,156
539001,96
539002,236
C539003,-26
539004,268
539005,0
539006,92
539007,81
539008,244
539009,401
539010,160
539011,36
539012,0
539013,36
539014,152
539015,325
539016,470
539017,12
539018,187
539019,228
539030,532
539032,46
C539031,-45
539033,216
539034,164
C539035,-12
539036,148
C539037,-200
539038,148
539039,749
539040,139
539041,73
539042,98
539043,248
539044,1211
539045,0
539046,186
539047,108
539048,0
539049,822
539050,135
539051,12
539052,12
539053,161
C539054,-30
C539055,-96
539056,1
C539057,-66
C539058,-60
C539059,-6
539064,54
C539063,-60
C539065,-40
C539066,-14
C539067,-40
C539068,-36
C539069,-27
539070,0
C539071,-15
C539072,-22
C539073,-3
539074,48
539075,174
539076,354
539077,228
539078,236
539079,215
539080,343
539081,2
539082,155
539083,24
539084,156
539085,120
539086,210
539087,876
539088,1451
539089,130
C539090,-2
539091,140
539092,488
539093,164
539094,124
539095,230
539096,216
539098,238
C539097,-7
539099,272
C539100,-4
539101,3600
539102,984
539103,726
C539104,-3
539105,164
539106,576
539107,168
539108,192
539109,1000
C539110,-4
539111,152
539112,246
539113,3
C539114,-6
539118,124
539142,114
539143,36
539144,832
539160,192
539181,98
539185,168
C539191,-2
C539195,-40
539196,600
539201,255
539211,280
539212,249
539213,58
539214,97
539215,148
539216,14
539217,388
539218,3
539219,48
539220,102
C539221,-207
539222,202
539223,2
C539224,-175
539225,1016
539226,82
539240,358
539242,13
539243,145
C539244,-2
539245,62
539246,84
539247,180
539248,72
539249,222
539250,514
C539251,-22
539252,76
C539253,-100
539254,168
539255,176
539256,327
539257,1512
C539258,-20
539259,172
C539260,-70
539261,234
539262,92
539263,231
539264,215
539265,4
539266,114
539267,130
539268,24
539269,40
C539270,-9
C539271,-10
539272,76
C539273,-13
C539274,-8
539275,304
C539276,-9
C539277,-24
C539278,-24
539280,62
C539279,-16
539281,314
539282,84
539283,192
C539284,-24
539285,72
539286,202
C539287,0
539288,0
C539289,-12
539290,66
539292,262
539293,377
C539291,-3
539294,293
539295,212
539296,60
539297,114
539298,121
539299,196
539300,56
C539301,-24
C539302,-12
539303,396
539304,288
539305,206
539306,97
539307,984
539308,144
539309,157
539310,12
539311,202
539312,516
539313,222
539314,440
539315,178
539316,84
539317,201
539318,360
539319,234
539320,522
539321,161
539322,80
539323,0
539324,73
539325,232
539326,364
539327,162
539328,196
C539329,-1000
539330,244
539331,0
539332,0
539333,198
539334,21
539335,282
539336,68
539337,492
539338,768
539351,100
539353,338
539374,247
539379,132
539391,252
539395,1192
539398,24
539400,36
539401,712
C539402,-35
539403,172
539404,74
539405,720
539406,180
539407,38
539408,112
C539409,-18
539410,96
539411,184
539412,11
539413,0
539414,155
539415,170
539416,6
539417,50
539418,88
539419,292
539420,108
539421,519
539422,123
539423,120
539434,4137
539435,130
539436,3968
539437,5258
C539438,-295
539439,232
539440,250
539441,0
539442,244
539443,616
539444,925
539445,280
539446,632
539447,174
C539448,0
539449,4
539450,149
539451,4110
539452,644
539453,4469
539454,144
539455,82
539456,165
539457,24
539458,16
539459,240
539460,20
539461,207
539462,224
539463,122
539464,156
539465,1512
539466,307
C539467,-10
539468,542
539469,230
539470,229
539471,160
539472,20
539473,342
539474,8
539475,228
C539476,-4
539477,216
539478,154
539479,15
539480,16
539481,4
539482,25
539483,82
539484,679
539485,19
C539486,0
539487,164
539488,660
539489,294
539490,216
539491,51
539492,2284
539493,33
539494,0
539495,0
539496,183
539497,198
539498,204
C539499,-3
539500,162
539501,216
539502,202
539551,208
539561,192
539564,664
C539565,-22
C539566,0
539567,96
C539568,-42
C539569,-50
539570,238
539571,14
539572,408
C539573,-10
C539574,-11
C539575,-62
C539576,-522
C539577,-8
539578,0
539579,281
539580,178
539581,408
539582,0
539583,0
539584,0
539585,0
539586,392
539587,444
539588,121
C539589,-13
539590,643
539591,192
539592,12
539593,582
539594,184
539595,1890
C539596,0
539597,48
C539598,-219
C539599,-12
C539600,-24
C539601,-18
C539602,-32
C539603,-49
539604,96
C539605,-10
C539606,-3
539607,728
C539608,-28
539609,172
539610,93
539611,0
539628,140
539629,208
539630,628
539631,1897
C539632,-96
539633,60
539634,50
539635,594
539636,472
539637,87
539638,0
539639,28
C539640,-18
539641,113
539642,169
539643,9
C539644,-260
539645,0
539646,0
539647,159
539648,4
539649,35
539650,38
539651,22
539653,440
539654,1255
C539655,-24
539656,2
C539657,-3
539658,227
539659,644
539660,6
C539661,0
539662,100
539663,351
539664,24
539665,2
539666,320
C539667,-11
539675,88
539676,141
539688,150
C539707,-18
539708,1036
C539709,-25
C539710,-9
C539711,-20
C539712,-5
539713,0
539714,0
539715,1
539716,104
539717,48
539718,1135
C539719,0
539720,64
539721,0
539722,559
539723,340
539724,360
539725,113
C539726,-10
539727,54
539728,804
539729,7
539730,134
539731,5756
539732,24
539733,19
539734,7
539735,571
539736,1107
539737,1700
539738,1617
539739,1016
539740,983
539741,455
539742,369
539743,350
539744,556
539745,444
539746,141
539747,127
539748,75
539749,0
539750,17398
539751,0
539752,295
539753,56
539754,57
539755,40
C539756,-4
539758,4
539759,2
539760,288
539761,494
539762,400
539764,222
539766,272
539825,7
539826,492
C539827,-2
539828,20
539829,48
C539830,-32
539831,83
C539832,-2
539835,187
539836,92
539837,196
C539838,-10
539839,4
539840,257
539856,1298
C539857,-4
539858,552
539859,160
539864,117
539865,312
C539866,-52
539867,120
539920,304
539921,18
539933,352
C539943,-4
C539944,-9
C539945,-8
539946,86
C539947,-24
C539948,-12
C539949,-12
C539950,-19
539951,27
539952,24
539953,8
539954,90
539955,896
C539956,-60
539957,860
539958,3908
539978,112
539979,9
539980,0
539981,191
539982,225
C539983,-24
539984,230
539985,780
539986,12
539987,6
539988,258
539989,3
539990,19
539991,67
539992,6
539993,206
539994,0
539995,0
539996,0
539997,0
539998,0
539999,0
540000,0
540001,346
540002,172
540003,273
540004,72
540005,111
C540006,-30
C540007,-60
540008,0
540009,0
540010,0
540011,0
540012,0
540013,191
540014,258
540015,356
540016,79
540017,102
540018,0
540019,235
540020,86
540021,422
540022,252
540023,577
540024,20
540025,120
540026,2928
540027,244
540028,256
540029,72
C540030,-72
540031,360
540032,252
540033,591
540040,400
540043,134
C540057,-40
540059,276
540060,154
540073,529
540093,92
540094,226
540095,141
540096,248
C540097,-184
540098,119
540099,561
540100,0
C540109,-300
C540112,-180
540113,177
540114,140
540115,66
540116,9
C540117,-16888
C540118,-16453
540119,0
540120,712
540121,196
540122,388
540126,636
540130,316
C540129,-6
C540142,-45
540146,179
540148,136
540149,260
540150,36
C540151,-10
C540152,-2
540153,264
540154,1426
C540155,-162
C540156,-10
540157,895
C540158,-64
540159,0
540160,1896
540161,104
540162,78
540163,461
C540164,-177
C540165,-21
540166,400
540167,46
540168,313
540169,208
540170,144
C540171,-22
540172,100
540173,80
540174,96
540175,1440
540176,2882
540178,352
C540177,-28
540179,407
540180,79
540181,48
540182,124
540183,940
540184,103
540185,178
540186,7
540187,337
540188,141
540227,4
540238,488
540239,620
540240,192
540241,0
540242,369
C540243,-45
C540244,-2
540245,96
C540246,-53
540247,839
540248,485
540249,176
C540250,-33
540251,12
540252,0
540253,944
540255,1058
540256,0
540257,187
540258,560
540259,236
540260,583
540261,544
540262,147
540263,84
540264,0
540265,192
C540266,-493
540267,4944
540268,905
540269,156
C540270,-33
C540271,-1126
540272,0
540273,207
540274,156
540275,1094
540276,1094
540277,2170
540278,298
540279,24
540280,60
540288,675
C540307,-672
540316,352
540345,532
C540346,-4
540348,159
C540347,-48
540349,379
540350,70
540351,191
540352,1622
540353,342
540354,522
540355,3088
540356,465
540357,712
540358,250
540359,163
C540360,-17
540361,160
540362,91
540363,24
540364,250
540365,337
C540366,0
C540367,-54
540369,0
540370,72
540371,256
540372,2216
540373,227
540374,184
540375,12
C540376,-4
C540377,-24
C540378,-4
C540379,-6
C540380,-15
C540381,0
C540382,-5
540383,305
C540384,-12
C540385,-10
C540386,-29
540387,107
C540388,-7
C540389,-2
C540390,-10
C540391,-2
C540392,-86
C540393,-27
C540394,-4
540395,196
540396,866
540397,188
C540398,-8
540399,8
C540400,-52
540401,736
540402,324
C540403,-2
540404,190
540405,192
540406,300
540407,358
540408,500
540409,408
540410,318
540411,168
540412,235
540413,180
540414,382
540415,296
540416,103
C540417,-1094
540418,2078
540420,150
540452,288
540453,158
540454,324
540455,452
540456,134
540457,90
540458,1336
540459,420
540460,48
540461,54
540462,328
540463,278
540464,970
540465,24
540466,288
540467,168
540468,1757
540469,796
C540470,-10
540471,485
540472,200
540473,423
540474,4
540475,113
540476,4
540477,152
540478,1800
540479,78
540480,608
540481,124
540482,198
540489,447
540493,226
540495,10
540496,240
540497,12
540498,228
540499,304
540500,342
540501,316
540502,412
C540503,-12
540504,170
540505,224
540506,228
540507,1728
540508,89
540509,305
540510,96
540511,236
540512,99
540513,328
540514,312
540515,149
540516,230
540517,107
540518,60
540519,260
540520,112
540521,63
540522,168
540523,219
540524,451
540525,214
540526,140
C540527,-10
540528,83
540529,240
540530,342
540531,84
540532,198
540533,91
540534,12
C540535,-32
540536,102
540537,73
540538,230
540539,312
540540,141
540541,223
540542,40
540543,279
540544,60
540545,246
540546,455
540547,198
540548,150
540549,0
540550,1327
540551,3716
540552,252
540553,272
540554,199
C540555,-11
540556,312
540557,0
540558,0
C540559,-12
540560,0
540561,171
540562,172
540563,160
540564,0
540565,80
540566,132
540567,213
540568,483
540595,98
540604,130
540630,201
C540634,-48
540635,381
540636,200
540637,0
540638,0
540639,300
540640,136
540641,226
540642,898
C540643,-20
540644,582
540645,162
540646,1737
540647,958
540648,542
540649,280
540650,0
540651,0
C540652,-265
540653,250
540662,404
540664,199
540671,288
540672,536
540673,0
540674,0
540675,0
540676,0
540677,0
540678,0
540679,0
540680,218
540681,1472
540682,0
540683,0
540684,0
540685,8
540687,159
540688,138
540689,10818
540690,146
540691,1250
540692,243
540693,0
540694,0
540695,0
540696,0
540697,292
540698,3924
540699,0
540700,306
540701,428
540702,105
540703,178
540704,245
540732,24
540750,84
540753,62
540768,408
540769,92
540770,128
540777,92
540778,0
540779,176
C540780,-319
C540781,-30
540782,134
C540783,-24
540785,3024
C540784,-12
C540786,-6
C540787,-32
C540788,-9
540789,612
C540790,0
C540791,-4
C540792,-3
C540793,-11
540794,78
540795,318
C540796,-8
540797,8
540798,411
540799,12
540800,64
540801,898
540802,384
540803,312
540809,201
540813,249
C540814,-2
540815,12088
540816,227
540817,286
540818,6620
540819,21
C540820,-6
540821,2588
540822,23
540823,186
540824,188
540825,48
540826,248
540827,253
540828,135
540829,24
540832,4363
540833,0
540834,1240
540835,68
540836,0
C540837,-77
540838,296
540839,186
540840,86
C540841,-52
540842,48
C540843,-48
540844,44
C540845,-8
C540846,-2
C540847,-6
540848,3048
540849,360
C540850,-1
540851,86
C540852,-408
C540853,-9
C540854,-12
540855,392
540856,630
540857,260
540858,76
540859,328
C540860,-17
540862,103
540866,288
C540895,-9
540900,185
540906,196
540907,935
540908,688
540915,234
C540937,-85
540939,2
C540938,0
540940,191
C540942,-51
540943,171
C540944,-5
540945,0
540946,470
540947,584
C540948,-38
C540949,0
C540950,-4
540951,584
C540952,-2
540953,147
540954,149
540955,90
540957,247
540968,605
540970,195
540971,368
540972,302
540973,13
540974,80
540975,228
540976,644
540977,2888
540978,0
540979,402
540980,174
540981,205
540982,0
540983,1130
540984,134
540985,96
540986,338
540987,0
540990,193
540991,264
540992,264
540993,144
540994,366
540995,2203
540996,78
540997,49
540998,182
540999,720
541000,0
541001,165
541002,107
541003,188
541004,112
541005,134
541006,271
C541007,-16
541008,34
C541009,-20
541010,123
541011,100
541012,146
541013,316
541014,166
541015,189
541018,265
541021,664
541038,149
541043,250
541086,277
541087,182
541088,536
C541089,-4
C541090,-5
541091,291
C541092,0
541093,674
541094,125
541103,437
541104,2238
541105,400
541106,0
541107,204
541108,72
541109,14
541110,236
